id	chr	start	end	strand	length	tr.name	tr.strand
L2_level1_chr9_+_72584679	chr9	72584666	72584729	+	63	Nedd4	+
L2_level1_chr8_-_8618086	chr8	8617576	8618767	-	1191	Efnb2	-
L2_level1_chr5_-_127971206	chr5	127971201	127971218	-	17	Tmem132c	+
L2_level1_chr13_+_41111658	chr13	41111624	41111734	+	110	Tmem14c	+
L2_level1_chr6_+_21358634	chr6	21358623	21358721	+	98	Kcnd2	+
L2_level1_chr5_+_66256434	chr5	66256432	66256436	+	4	Rhoh	+
L2_level1_chr8_-_61319428	chr8	61319006	61319762	-	756	Galntl6	-
L2_level1_chrX_-_71211701	chrX	71211495	71211764	-	269	Hcfc1	-
L2_level1_chr12_-_56778111	chr12	56778030	56778335	-	305	Ralgapa1	-
L2_level1_chr7_+_127875045	chr7	127874930	127875454	+	524	BC030336	+
L2_level1_chr3_+_82187430	chr3	82187401	82187553	+	152	Mtap9	+
L2_level1_chr1_-_69147809	chr1	69147306	69148061	-	755	Erbb4	-
L2_level1_chr12_+_85016188	chr12	85015776	85016239	+	463	Rbm25	+
L2_level1_chr6_+_110710856	chr6	110710840	110710980	+	140	Grm7	+
L2_level1_chr16_+_81435149	chr16	81435007	81435203	+	196	Ncam2	+
L2_level1_chr10_+_52830428	chr10	52829746	52830797	+	1051	Slc35f1	+
L2_level1_chr10_-_30411281	chr10	30410577	30411306	-	729	Ncoa7	-
L2_level1_chr1_-_16646966	chr1	16646895	16647286	-	391	Tceb1	-
L2_level1_chr11_+_23566388	chr11	23566328	23566505	+	177	Pus10	+
L2_level1_chr6_+_45326665	chr6	45326412	45327089	+	677	Cntnap2	+
L2_level1_chr7_+_89797128	chr7	89797080	89797173	+	93	Eftud1	+
L2_level1_chr8_-_93657902	chr8	93657824	93657960	-	136	Aktip	-
L2_level1_chr2_-_165705245	chr2	165705013	165705312	-	299	Zmynd8	-
L2_level1_chr4_+_88783332	chr4	88783257	88783396	+	139	Mtap	+
L2_level1_chr10_-_118645123	chr10	118645100	118645269	-	169	Cand1	-
L2_level1_chr17_+_80689552	chr17	80689518	80689641	+	123	Morn2	+
L2_level1_chr12_+_90786733	chr12	90786543	90786890	+	347	Nrxn3	+
L2_level1_chr2_+_68946723	chr2	68946427	68947398	+	971	Lass6	+
L2_level1_chr5_+_135499426	chr5	135499325	135499451	+	126	Stx1a	+
L2_level1_chr1_-_90596745	chr1	90596714	90597275	-	561	Arl4c	-
L2_level1_chr14_-_13299572	chr14	13299421	13299920	-	499	Cadps	-
L2_level1_chr5_-_4104462	chr5	4104159	4104516	-	357	Cyp51	-
L2_level1_chr10_-_48979633	chr10	48979121	48979790	-	669	Grik2	-
L2_level1_chr15_+_39223370	chr15	39223041	39223690	+	649	Rims2	+
L2_level1_chr19_-_10651601	chr19	10651474	10651645	-	171	Tmem138	-
L2_level1_chr17_-_35096182	chr17	35096154	35096243	-	89	Hspa1b	-
L2_level1_chr18_-_14841287	chr18	14841210	14841348	-	138	Ss18	-
L2_level1_chr5_-_115263937	chr5	115263812	115264001	-	189	1500011B03Rik	-
L2_level1_chr2_+_32817194	chr2	32817144	32817242	+	98	Rpl12	+
L2_level1_chr4_+_24423655	chr4	24423653	24423659	+	6	Mms22l	+
L2_level1_chr11_-_3832052	chr11	3832014	3832087	-	73	Tcn2	-
L2_level1_chr16_+_52058534	chr16	52058533	52058536	+	3	Cblb	+
L2_level1_chr15_-_79374224	chr15	79374100	79374337	-	237	Ddx17	-
L2_level1_chr15_-_59205746	chr15	59205679	59205782	-	103	E430025E21Rik	-
L2_level1_chr5_+_58522998	chr5	58522830	58523747	+	917	Pcdh7	+
L2_level1_chr12_+_86390072	chr12	86390049	86390193	+	144	Ylpm1	+
L2_level1_chr14_-_39820293	chr14	39820246	39820877	-	631	Nrg3	-
L2_level1_chr10_-_29066678	chr10	29066486	29067086	-	600	Rnf146	-
L2_level1_chr9_-_50445674	chr9	50445557	50445716	-	159	Dlat	-
L2_level1_chr3_-_129755142	chr3	129755142	129755146	-	4	Sec24b	-
L2_level1_chr17_+_56219073	chr17	56219021	56219218	+	197	Hdgfrp2	+
L2_level1_chr9_+_98483148	chr9	98483092	98483290	+	198	Copb2	+
L2_level1_chr11_-_100446368	chr11	100446313	100446440	-	127	Dnajc7	-
L2_level1_chr5_+_37682875	chr5	37682345	37682925	+	580	Crmp1	+
L2_level1_chr5_+_73704865	chr5	73704326	73705129	+	803	Ociad1	+
L2_level1_chr12_-_42179672	chr12	42178927	42180228	-	1301	Lrrn3	-
L2_level1_chr12_+_110892829	chr12	110892574	110892993	+	419	Rian	+
L2_level1_chr10_-_33739326	chr10	33739194	33739444	-	250	Rwdd1	-
L2_level1_chr7_+_52430180	chr7	52430104	52430232	+	128	Slc17a7	+
L2_level1_chr1_+_66658674	chr1	66658648	66658843	+	195	Unc80	+
L2_level1_chr16_+_31695973	chr16	31695697	31696150	+	453	Dlg1	+
L2_level1_chr1_+_133827659	chr1	133827599	133827932	+	333	Nucks1	+
L2_level1_chr8_+_121868405	chr8	121868253	121868497	+	244	Hsbp1	+
L2_level1_chr5_-_9161719	chr5	9161639	9161793	-	154	Dmtf1	-
L2_level1_chr15_+_41662528	chr15	41662253	41662712	+	459	Oxr1	+
L2_level1_chr4_-_76064172	chr4	76064022	76064650	-	628	Ptprd	-
L2_level1_chr2_+_49596872	chr2	49596835	49596913	+	78	Kif5c	+
L2_level1_chr5_-_108235506	chr5	108234855	108235655	-	800	Evi5	-
L2_level1_chr19_-_45853124	chr19	45852998	45853212	-	214	Mgea5	-
L2_level1_chr18_+_69843954	chr18	69843388	69843975	+	587	Tcf4	+
L2_level1_chr5_+_93696684	chr5	93696681	93696692	+	11	Ccng2	+
L2_level1_chr19_-_34601928	chr19	34601868	34602052	-	184	Lipa	-
L2_level1_chr1_-_69145636	chr1	69144926	69145985	-	1059	Erbb4	-
L2_level1_chr3_-_154260036	chr3	154259978	154260136	-	158	Cryz	+
L2_level1_chr7_+_85928018	chr7	85927969	85928122	+	153	Mrpl46	-
L2_level1_chr14_+_80030106	chr14	80028642	80030376	+	1734	Sugt1	+
L2_level1_chr16_+_91656929	chr16	91656382	91656997	+	615	Son	+
L2_level1_chr11_+_6191640	chr11	6191570	6191725	+	155	Ogdh	+
L2_level1_chr19_+_4214857	chr19	4214852	4214861	+	9	Clcf1	+
L2_level1_chr6_+_58840060	chr6	58840042	58840208	+	166	Herc3	+
L2_level1_chr1_-_55144715	chr1	55144651	55144766	-	115	Hspd1	-
L2_level1_chrX_-_20439703	chrX	20439564	20440228	-	664	Syn1	-
L2_level1_chrX_-_7770028	chrX	7769959	7770065	-	106	Ebp	-
L2_level1_chr10_+_81510852	chr10	81510819	81510898	+	79	Zfp873	+
L2_level1_chr16_+_18836663	chr16	18836643	18836705	+	62	2510002D24Rik	+
L2_level1_chr14_+_19103742	chr14	19103588	19103871	+	283	Nkiras1	+
L2_level1_chr12_+_70411323	chr12	70411120	70411610	+	490	Klhdc2	+
L2_level1_chr19_+_32895059	chr19	32894684	32895633	+	949	Pten	+
L2_level1_chr16_-_37114693	chr16	37114358	37114928	-	570	Stxbp5l	-
L2_level1_chr1_+_187180797	chr1	187180342	187180871	+	529	Bpnt1	+
L2_level1_chr18_-_20844775	chr18	20844424	20844883	-	459	B4galt6	-
L2_level1_chr18_-_31769561	chr18	31769190	31769607	-	417	Slc25a46	-
L2_level1_chr5_-_143665423	chr5	143665388	143665665	-	277	Actb	-
L2_level1_chrX_-_148730742	chrX	148730699	148731133	-	434	2900056M20Rik	-
L2_level1_chrX_-_100663180	chrX	100662944	100663382	-	438	Xist	-
L2_level1_chr10_+_110910340	chr10	110910150	110910453	+	303	Nap1l1	+
L2_level1_chr7_-_74440273	chr7	74440224	74440473	-	249	Mef2a	-
L2_level1_chr6_+_13036438	chr6	13034167	13036791	+	2624	Tmem106b	+
L2_level1_chr6_+_33301539	chr6	33301469	33301692	+	223	Exoc4	+
L2_level1_chr2_-_73469839	chr2	73469827	73469911	-	84	Chn1	-
L2_level1_chr16_-_36071649	chr16	36071581	36071698	-	117	Fam162a	-
L2_level1_chr14_+_48313548	chr14	48313534	48313591	+	57	Ktn1	+
L2_level1_chr11_+_68610839	chr11	68610783	68610953	+	170	Myh10	+
L2_level1_chr15_+_98474490	chr15	98474173	98474651	+	478	Cacnb3	+
L2_level1_chr3_+_102538879	chr3	102538831	102538959	+	128	2410057H14Rik	-
L2_level1_chr13_+_17987017	chr13	17987017	17987019	+	2	Rala	-
L2_level1_chr12_-_40763966	chr12	40763864	40764040	-	176	Arl4a	-
L2_level1_chr5_-_73647873	chr5	73647786	73647889	-	103	Fryl	-
L2_level1_chr2_+_135824460	chr2	135824322	135824465	+	143	Plcb4	+
L2_level1_chr19_+_47806228	chr19	47806187	47806282	+	95	Sfr1	+
L2_level1_chr1_+_37947387	chr1	37947318	37947435	+	117	Mrpl30	+
L2_level1_chr2_-_120574204	chr2	120574202	120574707	-	505	Ttbk2	-
L2_level1_chr18_+_42727523	chr18	42727511	42727677	+	166	Tcerg1	+
L2_level1_chr14_+_68704647	chr14	68704519	68704856	+	337	Nefl	+
L2_level1_chr13_-_102458987	chr13	102458936	102459135	-	199	Pik3r1	-
L2_level1_chr11_+_29593659	chr11	29593594	29593670	+	76	Rtn4	+
L2_level1_chr17_+_36131438	chr17	36131384	36131497	+	113	A930015D03Rik	+
L2_level1_chr1_-_25863694	chr1	25863636	25864085	-	449	Bai3	-
L2_level1_chrX_-_100674339	chrX	100673262	100674525	-	1263	Xist	-
L2_level1_chr15_+_80629022	chr15	80628960	80629203	+	243	Tnrc6b	+
L2_level1_chr18_+_36919895	chr18	36919858	36919941	+	83	Wdr55	+
L2_level1_chr2_-_6741583	chr2	6741237	6741588	-	351	Celf2	-
L2_level1_chr7_+_98670014	chr7	98669717	98670472	+	755	Dlg2	+
L2_level1_chr11_-_75993119	chr11	75992830	75993174	-	344	Vps53	-
L2_level1_chr13_-_37141085	chr13	37141080	37141090	-	10	F13a1	-
L2_level1_chr3_-_19595335	chr3	19595294	19595573	-	279	Crh	-
L2_level1_chr1_+_135035195	chr1	135034670	135035292	+	622	Ppp1r15b	+
L2_level1_chrX_-_91449432	chrX	91449306	91449456	-	150	Eif2s3x	-
L2_level1_chr14_+_57948693	chr14	57948692	57948695	+	3	Cryl1	-
L2_level1_chr5_-_5266058	chr5	5265860	5266271	-	411	Cdk14	-
L2_level1_chr2_+_91052581	chr2	91051879	91053342	+	1463	Acp2	+
L2_level1_chr12_+_111863738	chr12	111863596	111863792	+	196	Dync1h1	+
L2_level1_chr9_+_75009255	chr9	75009220	75009324	+	104	Myo5a	+
L2_level1_chr16_+_94654712	chr16	94654710	94654908	+	198	Ttc3	+
L2_level1_chr8_-_71919429	chr8	71919386	71919498	-	112	Gm10033	-
L2_level1_chr11_-_51803967	chr11	51803471	51804200	-	729	Ube2b	-
L2_level1_chr5_+_27725446	chr5	27725434	27725526	+	92	Dpp6	+
L2_level1_chr2_+_121126275	chr2	121125105	121130259	+	5154	Mtap1a	+
L2_level1_chr11_+_23207163	chr11	23207150	23207164	+	14	Usp34	+
L2_level1_chr6_-_83781695	chr6	83781648	83781773	-	125	Paip2b	-
L2_level1_chr11_+_16951945	chr11	16951658	16952321	+	663	Cnrip1	+
L2_level1_chr2_-_104268773	chr2	104268375	104269731	-	1356	Hipk3	-
L2_level1_chr3_+_108198972	chr3	108198970	108198976	+	6	Celsr2	-
L2_level1_chr10_+_57955221	chr10	57955143	57955397	+	254	Ranbp2	+
L2_level1_chr16_+_90220954	chr16	90220724	90221145	+	421	Sod1	+
L2_level1_chrX_-_92361766	chrX	92361553	92361913	-	360	Arhgef9	-
L2_level1_chr13_+_35784809	chr13	35784809	35784811	+	2	Cdyl	+
L2_level1_chr16_+_13417053	chr16	13416647	13417143	+	496	Mkl2	+
L2_level1_chr1_+_9536556	chr1	9536404	9536868	+	464	Rrs1	+
L2_level1_chr7_+_135838823	chr7	135838157	135839384	+	1227	Inpp5f	+
L2_level1_chr18_+_38469330	chr18	38469101	38469339	+	238	Rnf14	+
L2_level1_chr2_+_130852374	chr2	130852217	130852620	+	403	Atrn	+
L2_level1_chr11_+_87015034	chr11	87014805	87015097	+	292	Trim37	+
L2_level1_chr6_-_50516477	chr6	50516377	50516605	-	228	Cycs	-
L2_level1_chr12_-_112096804	chr12	112096387	112097071	-	684	Zfp839	+
L2_level1_chr12_-_81438217	chr12	81438146	81438789	-	643	Dcaf5	-
L2_level1_chr3_+_95464835	chr3	95464698	95464954	+	256	Mcl1	+
L2_level1_chr7_+_148514116	chr7	148513990	148514132	+	142	Tmem80	+
L2_level1_chr13_-_74454739	chr13	74454660	74454900	-	240	Pdcd6	-
L2_level1_chr3_+_60430549	chr3	60430290	60431034	+	744	Mbnl1	+
L2_level1_chr11_-_50024297	chr11	50024080	50024385	-	305	Sqstm1	-
L2_level1_chr11_-_86508856	chr11	86508535	86509202	-	667	Cltc	-
L2_level1_chr3_-_94937880	chr3	94937792	94938014	-	222	Lysmd1	+
L2_level1_chr9_+_107838232	chr9	107838158	107838357	+	199	Camkv	+
L2_level1_chr17_+_21099598	chr17	21099515	21099664	+	149	Ppp2r1a	+
L2_level1_chrX_+_7215822	chrX	7215688	7215888	+	200	Syp	+
L2_level1_chr1_+_187208893	chr1	187208743	187208964	+	221	Eprs	+
L2_level1_chr11_+_69548158	chr11	69547907	69548324	+	417	Polr2a	-
L2_level1_chr13_-_18312311	chr13	18312311	18312312	-	1	Pou6f2	-
L2_level1_chr17_-_23330158	chr17	23330064	23330293	-	229	Zfp40	-
L2_level1_chr16_+_91657850	chr16	91657134	91658504	+	1370	Son	+
L2_level1_chr6_-_51418323	chr6	51417905	51418462	-	557	Hnrnpa2b1	-
L2_level1_chr14_-_21347478	chr14	21347389	21347499	-	110	Ppp3cb	-
L2_level1_chr18_-_16782754	chr18	16782673	16782899	-	226	Cdh2	-
L2_level1_chr3_+_28567447	chr3	28567222	28567494	+	272	Tnik	+
L2_level1_chr3_+_107698746	chr3	107698696	107698890	+	194	Gstm5	+
L2_level1_chr7_-_27963899	chr7	27963772	27963928	-	156	Rab4b	-
L2_level1_chr19_+_5492630	chr19	5492627	5492775	+	148	Cfl1	+
L2_level1_chr12_+_90848893	chr12	90848719	90849448	+	729	Nrxn3	+
L2_level1_chr1_+_192752479	chr1	192752337	192752606	+	269	Angel2	+
L2_level1_chr10_+_119023162	chr10	119022852	119023623	+	771	Grip1	+
L2_level1_chr10_+_69418823	chr10	69418659	69418874	+	215	Ank3	+
L2_level1_chr4_-_135561494	chr4	135561228	135561600	-	372	Tceb3	-
L2_level1_chr16_+_17045550	chr16	17045525	17046565	+	1040	Mapk1	+
L2_level1_chr7_+_3655916	chr7	3655884	3655940	+	56	Rps9	+
L2_level1_chr5_-_5265721	chr5	5265458	5265797	-	339	Cdk14	-
L2_level1_chr8_+_88348209	chr8	88348185	88348256	+	71	Itfg1	-
L2_level1_chr2_+_135828034	chr2	135827995	135828099	+	104	Plcb4	+
L2_level1_chr2_+_113128451	chr2	113128441	113128458	+	17	Tmco5b	+
L2_level1_chr10_-_112366067	chr10	112365588	112366127	-	539	Atxn7l3b	-
L2_level1_chr2_-_180882257	chr2	180881163	180882617	-	1454	Eef1a2	-
L2_level1_chr7_-_97089666	chr7	97089439	97089759	-	320	l7Rn6	-
L2_level1_chr18_+_49889312	chr18	49889312	49889313	+	1	Dtwd2	-
L2_level1_chr12_+_70287251	chr12	70286567	70287466	+	899	Mgat2	+
L2_level1_chr5_-_100392885	chr5	100392772	100392916	-	144	Hnrnpd	-
L2_level1_chr5_-_104523685	chr5	104523662	104523856	-	194	Sparcl1	-
L2_level1_chr5_+_89194200	chr5	89194159	89194367	+	208	Dck	+
L2_level1_chr8_-_41636943	chr8	41636696	41637287	-	591	Mtmr7	-
L2_level1_chr5_+_108026730	chr5	108026692	108026797	+	105	Glmn	-
L2_level1_chr6_+_38542619	chr6	38542604	38542775	+	171	Luc7l2	+
L2_level1_chr10_-_40022012	chr10	40021975	40022061	-	86	Amd1	-
L2_level1_chr17_-_22498372	chr17	22498135	22498408	-	273	Zfp944	-
L2_level1_chrX_+_13423609	chrX	13423607	13423611	+	4	Cask	-
L2_level1_chr13_+_24895139	chr13	24894979	24895363	+	384	BC005537	+
L2_level1_chr7_+_109054450	chr7	109054319	109054507	+	188	2400001E08Rik	+
L2_level1_chr1_+_74398713	chr1	74398532	74398901	+	369	Pnkd	+
L2_level1_chr19_+_46157626	chr19	46157409	46157820	+	411	Nolc1	+
L2_level1_chr10_+_95489331	chr10	95489178	95489502	+	324	Eea1	+
L2_level1_chr8_+_11497563	chr8	11497537	11497632	+	95	Carkd	+
L2_level1_chr3_-_57649203	chr3	57649092	57649306	-	214	Pfn2	-
L2_level1_chr10_-_75236126	chr10	75235979	75236212	-	233	Ddt	-
L2_level1_chr18_+_64429444	chr18	64429067	64429629	+	562	St8sia3	+
L2_level1_chr8_+_4325222	chr8	4325172	4325276	+	104	Ccl25	+
L2_level1_chr1_-_4870761	chr1	4870750	4870836	-	86	Tcea1	+
L2_level1_chr18_-_67884250	chr18	67884141	67884273	-	132	Ptpn2	-
L2_level1_chr17_-_32302892	chr17	32302884	32302904	-	20	Notch3	-
L2_level1_chr12_+_75385280	chr12	75385192	75385423	+	231	1700086L19Rik	+
L2_level1_chr9_+_64744199	chr9	64744139	64744547	+	408	Dennd4a	+
L2_level1_chr7_+_53682976	chr7	53682696	53684156	+	1460	Kcnc1	+
L2_level1_chr5_-_90673492	chr5	90673167	90673532	-	365	Ankrd17	-
L2_level1_chr4_-_36615561	chr4	36615553	36615567	-	14	Lingo2	-
L2_level1_chr6_-_50211760	chr6	50211692	50211829	-	137	Dfna5	-
L2_level1_chr16_+_36919273	chr16	36918037	36919510	+	1473	Golgb1	+
L2_level1_chr9_-_64835863	chr9	64835462	64836175	-	713	Ptplad1	-
L2_level1_chr2_-_6875190	chr2	6875090	6875381	-	291	Celf2	-
L2_level1_chr4_+_95683398	chr4	95682888	95683690	+	802	Hook1	+
L2_level1_chr18_-_25327135	chr18	25327055	25327197	-	142	5730494M16Rik	-
L2_level1_chr16_+_41534321	chr16	41534092	41534532	+	440	Lsamp	+
L2_level1_chr14_-_40216249	chr14	40216064	40216566	-	502	Nrg3	-
L2_level1_chr19_-_7557744	chr19	7557382	7557832	-	450	Rtn3	-
L2_level1_chr14_+_60997127	chr14	60997104	60997452	+	348	Fam123a	+
L2_level1_chr11_+_60268110	chr11	60268025	60268161	+	136	Drg2	+
L2_level1_chrX_+_33735970	chrX	33735838	33736119	+	281	Zcchc12	+
L2_level1_chr14_-_77652141	chr14	77652121	77652152	-	31	Enox1	+
L2_level1_chr1_+_10029842	chr1	10029828	10029938	+	110	Cspp1	+
L2_level1_chr9_-_30978106	chr9	30978028	30978332	-	304	Aplp2	-
L2_level1_chr2_-_167457502	chr2	167457468	167457552	-	84	Ube2v1	-
L2_level1_chr6_+_143146052	chr6	143145880	143146060	+	180	Etnk1	+
L2_level1_chr7_-_63230899	chr7	63230140	63231880	-	1740	A230056P14Rik	+
L2_level1_chr19_+_37624931	chr19	37624863	37625025	+	162	Exoc6	+
L2_level1_chr14_-_60033425	chr14	60033411	60033441	-	30	Setdb2	-
L2_level1_chr11_-_87797414	chr11	87797397	87797525	-	128	Dynll2	-
L2_level1_chr1_random_-_270349	chr1_random	270144	270422	-	278	Brox	-
L2_level1_chr13_-_105772976	chr13	105772971	105773319	-	348	Rgs7bp	-
L2_level1_chr8_+_96910384	chr8	96910308	96910613	+	305	Herpud1	+
L2_level1_chr18_+_42690406	chr18	42690289	42690547	+	258	Tcerg1	+
L2_level1_chr5_-_23013378	chr5	23012150	23013546	-	1396	Srpk2	-
L2_level1_chr2_-_120371606	chr2	120371601	120371661	-	60	Zfp106	-
L2_level1_chr2_-_125670636	chr2	125670561	125670697	-	136	Cops2	-
L2_level1_chr2_-_25440323	chr2	25440305	25440540	-	235	B230208H17Rik	-
L2_level1_chr12_-_103981336	chr12	103980371	103981581	-	1210	AK010878	-
L2_level1_chr12_+_90093789	chr12	90093568	90094532	+	964	Nrxn3	+
L2_level1_chr10_+_75931672	chr10	75931590	75931883	+	293	Mcm3ap	+
L2_level1_chr18_+_69504192	chr18	69504021	69504600	+	579	Tcf4	+
L2_level1_chr6_-_83757546	chr6	83757366	83757735	-	369	Paip2b	-
L2_level1_chr15_-_81702316	chr15	81702281	81702369	-	88	Phf5a	-
L2_level1_chr12_+_72164115	chr12	72164067	72164304	+	237	Arid4a	+
L2_level1_chr15_+_9070314	chr15	9070217	9070381	+	164	Lmbrd2	+
L2_level1_chr17_-_83750551	chr17	83750547	83750563	-	16	Eml4	+
L2_level1_chr4_+_151713092	chr4	151712945	151713111	+	166	Chd5	+
L2_level1_chr17_-_57144895	chr17	57144807	57144979	-	172	Gtf2f1	-
L2_level1_chr15_+_12114707	chr15	12114101	12115014	+	913	Zfr	+
L2_level1_chr16_-_43889792	chr16	43889691	43889839	-	148	Qtrtd1	-
L2_level1_chr11_+_104191031	chr11	104190622	104191243	+	621	Mapt	+
L2_level1_chr11_+_87402232	chr11	87402210	87402345	+	135	Sept4	+
L2_level1_chr4_-_130037208	chr4	130037128	130037288	-	160	Zcchc17	-
L2_level1_chr14_-_33015060	chr14	33014974	33015122	-	148	Timm23	-
L2_level1_chr9_+_64893552	chr9	64893415	64893567	+	152	Dpp8	+
L2_level1_chr4_-_126427300	chr4	126427163	126427654	-	491	Ncdn	-
L2_level1_chr10_+_82161858	chr10	82161848	82162022	+	174	Hcfc2	+
L2_level1_chr2_-_156216747	chr2	156216729	156216912	-	183	2900097C17Rik	-
L2_level1_chr14_-_57430473	chr14	57430440	57430617	-	177	Zmym5	-
L2_level1_chr7_-_39056409	chr7	39056190	39056432	-	242	Pop4	-
L2_level1_chr10_-_67375174	chr10	67375137	67375289	-	152	Zfp365	-
L2_level1_chr1_-_172127178	chr1	172126698	172130047	-	3349	Uhmk1	-
L2_level1_chr2_+_3243637	chr2	3243330	3244077	+	747	Nmt2	+
L2_level1_chr18_+_37098845	chr18	37098794	37098874	+	80	Pcdha2	+
L2_level1_chr2_-_62577286	chr2	62577225	62577469	-	244	Kcnh7	-
L2_level1_chr5_-_90682812	chr5	90682542	90682991	-	449	Ankrd17	-
L2_level1_chr2_+_126568046	chr2	126567840	126568398	+	558	Usp8	+
L2_level1_chr1_-_69074690	chr1	69074599	69075080	-	481	Erbb4	-
L2_level1_chr18_+_78016364	chr18	78016140	78016400	+	260	Atp5a1	+
L2_level1_chr12_+_113883135	chr12	113883076	113883211	+	135	Siva1	+
L2_level1_chr11_-_100334054	chr11	100334022	100334166	-	144	Klhl11	-
L2_level1_chr9_+_107948266	chr9	107947775	107948843	+	1068	Ip6k1	+
L2_level1_chr4_-_75731942	chr4	75731585	75732538	-	953	Ptprd	-
L2_level1_chr15_-_72640415	chr15	72639900	72640499	-	599	Trappc9	-
L2_level1_chr10_-_93467322	chr10	93467294	93467368	-	74	Vezt	-
L2_level1_chr11_-_97627858	chr11	97627758	97627949	-	191	Cwc25	-
L2_level1_chr16_-_42291976	chr16	42291946	42292500	-	554	Gap43	-
L2_level1_chr6_+_134961633	chr6	134961591	134961663	+	72	Ddx47	+
L2_level1_chrX_+_12648629	chrX	12648570	12648695	+	125	Usp9x	+
L2_level1_chr12_+_82050044	chr12	82049806	82050086	+	280	Srsf5	+
L2_level1_chr12_-_45308284	chr12	45307694	45308402	-	708	Dnajb9	-
L2_level1_chr9_+_120868862	chr9	120868399	120868913	+	514	Ctnnb1	+
L2_level1_chr9_-_66767466	chr9	66767266	66767575	-	309	Rab8b	-
L2_level1_chr4_+_132100610	chr4	132100547	132100634	+	87	Dnajc8	+
L2_level1_chr5_-_93617135	chr5	93617122	93617259	-	137	Ccni	-
L2_level1_chr14_+_8912840	chr14	8912794	8912920	+	126	Rpp14	+
L2_level1_chr3_+_68421603	chr3	68421513	68421698	+	185	Iqcj-schip1	+
L2_level1_chrX_+_140228547	chrX	140228114	140228707	+	593	Pak3	+
L2_level1_chr11_-_21995447	chr11	21995348	21996224	-	876	Ehbp1	-
L2_level1_chr6_-_113764023	chr6	113763803	113764061	-	258	Atp2b2	-
L2_level1_chr16_+_94645740	chr16	94645656	94645827	+	171	Ttc3	+
L2_level1_chr6_+_92121575	chr6	92121010	92121889	+	879	Nr2c2	+
L2_level1_chr11_+_93978088	chr11	93977988	93978172	+	184	Spag9	+
L2_level1_chr10_+_59269251	chr10	59269250	59269269	+	19	Cbara1	+
L2_level1_chr7_+_91046591	chr7	91046241	91047030	+	789	Mesdc2	+
L2_level1_chr6_+_45188489	chr6	45188387	45188727	+	340	Cntnap2	+
L2_level1_chr2_-_163470828	chr2	163470753	163470924	-	171	0610039K10Rik	+
L2_level1_chr12_-_76570848	chr12	76570741	76570892	-	151	Ppp2r5e	-
L2_level1_chr2_+_29849422	chr2	29849300	29849480	+	180	Spna2	+
L2_level1_chr13_+_83867701	chr13	83867520	83867793	+	273	C130071C03Rik	+
L2_level1_chr9_+_69651645	chr9	69651640	69651646	+	6	B230323A14Rik	+
L2_level1_chr11_+_109521441	chr11	109521253	109521463	+	210	Prkar1a	+
L2_level1_chr2_+_80457371	chr2	80457318	80457426	+	108	Dusp19	+
L2_level1_chr14_-_66044030	chr14	66044003	66044087	-	84	Pnoc	-
L2_level1_chr2_+_118466172	chr2	118466171	118466173	+	2	Bub1b	+
L2_level1_chr4_+_106584592	chr4	106584591	106584593	+	2	Ssbp3	+
L2_level1_chr16_+_94683870	chr16	94683827	94683953	+	126	Ttc3	+
L2_level1_chr7_-_27980781	chr7	27980611	27980843	-	232	Snrpa	-
L2_level1_chr14_+_61833154	chr14	61831258	61833532	+	2274	Sacs	+
L2_level1_chr14_-_73002825	chr14	73002707	73002961	-	254	Fndc3a	-
L2_level1_chr4_-_75774670	chr4	75774405	75774995	-	590	Ptprd	-
L2_level1_chr17_-_85468280	chr17	85468238	85468459	-	221	Prepl	-
L2_level1_chr3_+_58380576	chr3	58380520	58380763	+	243	2810407C02Rik	+
L2_level1_chr2_-_66278865	chr2	66278777	66279266	-	489	Scn1a	-
L2_level1_chr9_+_45669953	chr9	45669892	45670293	+	401	Bace1	+
L2_level1_chr11_-_106077653	chr11	106077469	106077731	-	262	Ccdc47	-
L2_level1_chr11_-_46090359	chr11	46090303	46090412	-	109	Cyfip2	-
L2_level1_chr6_+_91123823	chr6	91123386	91124215	+	829	Hdac11	+
L2_level1_chr1_-_40142699	chr1	40142644	40142770	-	126	Gm16894	-
L2_level1_chr11_+_49017004	chr11	49016864	49017035	+	171	Zfp62	+
L2_level1_chr4_-_133091785	chr4	133091607	133091794	-	187	Nudc	-
L2_level1_chr8_-_47293823	chr8	47293765	47293938	-	173	Slc25a4	-
L2_level1_chr6_+_45941906	chr6	45941855	45942046	+	191	Cntnap2	+
L2_level1_chr14_+_73960348	chr14	73960216	73960403	+	187	Sucla2	+
L2_level1_chr8_+_126562617	chr8	126562615	126562618	+	3	Urb2	+
L2_level1_chr6_-_113767324	chr6	113767166	113767388	-	222	Atp2b2	-
L2_level1_chr14_+_22652140	chr14	22652071	22652148	+	77	Vdac2	+
L2_level1_chr1_+_24820160	chr1	24819451	24820557	+	1106	Lmbrd1	+
L2_level1_chr9_+_75027857	chr9	75027792	75027958	+	166	Myo5a	+
L2_level1_chr4_+_139011509	chr4	139011340	139011537	+	197	Ubr4	+
L2_level1_chr12_+_90132798	chr12	90132537	90133346	+	809	Nrxn3	+
L2_level1_chr2_+_125977899	chr2	125977833	125977995	+	162	Dtwd1	+
L2_level1_chr3_-_31105830	chr3	31105346	31106553	-	1207	Slc7a14	-
